city,lat,lon,weather
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky
St Malo,48.649518,-2.0260409,clear sky
Bayeux,49.2764624,-0.7024738,clear sky
Le Havre,49.4938975,0.1079732,clear sky
Rouen,49.4404591,1.0939658,clear sky
Paris,48.8534951,2.3483915,light rain
Amiens,49.8941708,2.2956951,clear sky
Lille,50.6365654,3.0635282,clear sky
Strasbourg,48.584614,7.7507127,clear sky
Chateau du Haut Koenigsbourg,48.2495226,7.3454923,clear sky
Colmar,48.0777517,7.3579641,clear sky
Eguisheim,48.0447968,7.3079618,clear sky
Besancon,47.2380222,6.0243622,scattered clouds
Dijon,47.3215806,5.0414701,clear sky
Annecy,45.8992348,6.1288847,clear sky
Grenoble,45.1875602,5.7357819,broken clouds
Lyon,45.7578137,4.8320114,clear sky
Bormes les Mimosas,43.1506968,6.3419285,clear sky
Cassis,43.2140359,5.5396318,broken clouds
Marseille,43.2961743,5.3699525,clear sky
Aix en Provence,43.5298424,5.4474738,scattered clouds
Avignon,43.9492493,4.8059012,clear sky
Uzes,44.0121279,4.4196718,overcast clouds
Nimes,43.8374249,4.3600687,clear sky
Aigues Mortes,43.5658225,4.1912837,clear sky
Saintes Maries de la mer,43.4522771,4.4287172,overcast clouds
Collioure,42.52505,3.0831554,few clouds
Carcassonne,43.2130358,2.3491069,scattered clouds
Toulouse,43.6044622,1.4442469,clear sky
Montauban,44.0175835,1.3549991,few clouds
Biarritz,43.4832523,-1.5592776,clear sky
Bayonne,43.4945144,-1.4736657,clear sky
La Rochelle,46.1591126,-1.1520434,clear sky
