city,lat,lon,weather,id,overall_rank,availability,name,tag
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,4569759,9.0,True,Ermitage Mont Saint Michel,Hôtel de luxe à Beauvoir avec un restaurant et un bar/salon 
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,2934442,7.400000095367432,True,Residence Le Domaine du Mont - Vacancéole,Résidence 3 étoiles à Roz-sur-Couesnon avec un spa et une piscine couverte 
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,1170658,7.599999904632568,True,Altos Hôtel & Spa,"Hôtel 3 étoiles avec un spa proposant des soins complets - Jardins de l'evêché à 1,8 km"
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,20699,9.0,True,Hôtel Barrière Le Grand Hôtel Dinard,"Hôtel 5 étoiles proche de la plage avec spa, près de Plage de Dinard "
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,6560916,9.399999618530273,True,Hôtel L'Adresse,"Hôtel 4 étoiles avec un bar/salon - Plage du Sillon à 0,1 km"
Mont Saint Michel,48.6359541,-1.511459954959514,clear sky,3895135,9.199999809265137,True,Brit Hotel Piscine & Spa - Fougères,Hôtel 3 étoiles à Lécousse avec un spa et une piscine couverte 
St Malo,48.649518,-2.0260409,clear sky,6560916,9.399999618530273,True,Hôtel L'Adresse,"Hôtel 4 étoiles avec un bar/salon - Plage du Sillon à 0,1 km"
St Malo,48.649518,-2.0260409,clear sky,8779967,8.600000381469727,True,Résidence Reine Marine,Résidence en bord de plage à Saint-Malo avec spa et bar/salon 
St Malo,48.649518,-2.0260409,clear sky,20699,9.0,True,Hôtel Barrière Le Grand Hôtel Dinard,"Hôtel 5 étoiles proche de la plage avec spa, près de Plage de Dinard "
St Malo,48.649518,-2.0260409,clear sky,9315,8.800000190734863,True,Hôtel Emeria Dinard Thalasso & Spa,Hôtel proche de la plage à Dinard avec 2 restaurants et un spa proposant des soins complets 
St Malo,48.649518,-2.0260409,clear sky,5683633,9.0,True,Kyriad Dol de Bretagne,Hôtel 3 étoiles à Dol-de-Bretagne 
St Malo,48.649518,-2.0260409,clear sky,1165904,8.399999618530273,True,Logis Hotel du Chateau,Hôtel au bord d'un lac à Combourg avec un restaurant et un bar/salon 
Bayeux,49.2764624,-0.7024738,clear sky,18750386,9.0,True,inspiration by balladins Caen Mémorial,Hôtel 3 étoiles à Saint-Contest avec un bar/salon 
Bayeux,49.2764624,-0.7024738,clear sky,5506993,8.399999618530273,True,La Cremaillère,Hôtel proche de la plage à Courseulles-sur-Mer avec restaurant et bar/salon 
Bayeux,49.2764624,-0.7024738,clear sky,888892,8.800000190734863,True,Brit Hotel Caen Nord - Mémorial,Hôtel 3 étoiles à Caen avec un restaurant et un bar/salon 
Bayeux,49.2764624,-0.7024738,clear sky,1170391,9.399999618530273,True,Ferme de la Rançonnière,Hôtel 4 étoiles à Crépon avec un restaurant et un bar/salon 
Bayeux,49.2764624,-0.7024738,clear sky,1150004,8.199999809265137,True,Campanile Caen Mondeville,"Hôtel qui accepte les animaux de compagnie à Mondeville, avec un restaurant et en liaison directe avec un centre commercial"
Bayeux,49.2764624,-0.7024738,clear sky,3450144,8.199999809265137,True,Hôtel des Quatrans,Centre-ville de Caen : hôtel au centre-ville avec un bar/salon 
Le Havre,49.4938975,0.1079732,clear sky,11700864,9.0,True,Nomad Hotel Le Havre,Hôtel 3 étoiles dans le quartier de Sainte Marie - Saint Leon avec un restaurant et un bar/salon
Le Havre,49.4938975,0.1079732,clear sky,26700602,7.400000095367432,True,B&B Hotel Le Havre Centre Gare,Hôtel 3 étoiles à Le Havre 
Le Havre,49.4938975,0.1079732,clear sky,1150056,6.800000190734863,True,Birgit Hotel Le Havre Centre,Hôtel 3 étoiles à Le Havre avec un restaurant et un bar/salon 
Le Havre,49.4938975,0.1079732,clear sky,6318065,8.600000381469727,True,Aparthotel Adagio Access Le Havre Les Docks,"Appart'hôtel qui accepte les animaux de compagnie à Le Havre, avec un centre de conférence et en liaison directe avec le centre des congrès"
Le Havre,49.4938975,0.1079732,clear sky,26219,8.199999809265137,True,ibis Le Havre Centre,Hôtel 3 étoiles dans le quartier de Centre-ville du Havre avec un restaurant et un bar/salon
Le Havre,49.4938975,0.1079732,clear sky,4020500,7.800000190734863,True,Boutique Hotel d'Angleterre,Hôtel 3 étoiles dans le quartier de Centre-ville du Havre 
Rouen,49.4404591,1.0939658,clear sky,914055,7.199999809265137,True,B&B Hotel Rouen Centre,"Hôtel qui accepte les animaux de compagnie à Rouen, avec un restaurant et en liaison directe avec un centre commercial"
Rouen,49.4404591,1.0939658,clear sky,1383016,8.199999809265137,True,Hotel de Quebec,Hôtel au centre-ville dans le quartier de Centre-ville de Rouen 
Rouen,49.4404591,1.0939658,clear sky,5510012,8.600000381469727,True,Kyriad Rouen Sud - Val De Reuil,Hôtel 3 étoiles à Val-de-Reuil 
Rouen,49.4404591,1.0939658,clear sky,1150190,7.800000190734863,True,Campanile Rouen Sud - Zénith - Parc Expo,Hôtel 3 étoiles à Saint-Étienne-du-Rouvray avec un restaurant et un bar/salon 
Rouen,49.4404591,1.0939658,clear sky,10624962,8.600000381469727,True,Hôtel le Pavillon de Rouen,Hôtel 3 étoiles à Franqueville-Saint-Pierre avec un restaurant et un bar/salon 
Rouen,49.4404591,1.0939658,clear sky,4068,7.800000190734863,True,Contact Hotel Le Seino Marin,Hôtel 3 étoiles à Cléon avec un bar/salon 
Paris,48.8534951,2.3483915,light rain,15940,9.0,True,25hours Hotel Terminus Nord,"Hôtel 4 étoiles avec un restaurant - La Machine du Moulin Rouge à 1,8 km"
Paris,48.8534951,2.3483915,light rain,1337,8.600000381469727,True,Hyatt Regency Paris Etoile,Hôtel pour la clientèle LGBTQIA+ à Paris avec un restaurant et un bar/salon 
